run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
betterleaks/default,aws_keypair,encoding,630,0.7270,1.0000,0.7270,0.7270
betterleaks/default,aws_keypair,indirection,60,0.5000,1.0000,0.5000,0.5000
betterleaks/default,aws_keypair,multi_encoding,270,0.6963,1.0000,0.6963,0.6963
betterleaks/default,aws_keypair,splitting,150,0.0467,1.0000,0.0467,0.0467
betterleaks/default,aws_secret_access_key,char_format,120,0.0000,0.9444,0.0000,0.0000
betterleaks/default,aws_secret_access_key,composition,60,0.0000,0.9444,0.0000,0.0000
betterleaks/default,aws_secret_access_key,contextual,180,0.0000,0.9444,0.0000,0.0000
betterleaks/default,aws_secret_access_key,control,90,0.9444,0.9444,1.0000,1.0000
betterleaks/default,aws_secret_access_key,encoding,630,0.6190,0.9444,0.6555,0.6555
betterleaks/default,aws_secret_access_key,indirection,60,0.4833,0.9444,0.5118,0.5118
betterleaks/default,aws_secret_access_key,multi_encoding,270,0.6741,0.9444,0.7137,0.7137
betterleaks/default,aws_secret_access_key,splitting,150,0.0733,0.9444,0.0776,0.0776
betterleaks/default,generic_hex_token,char_format,120,0.0000,0.9556,0.0000,0.0000
betterleaks/default,generic_hex_token,composition,60,0.0000,0.9556,0.0000,0.0000
betterleaks/default,generic_hex_token,contextual,180,0.0000,0.9556,0.0000,0.0000
betterleaks/default,generic_hex_token,control,90,0.9556,0.9556,1.0000,1.0000
betterleaks/default,generic_hex_token,encoding,630,0.6746,0.9556,0.7060,0.7060
betterleaks/default,generic_hex_token,indirection,60,0.4833,0.9556,0.5058,0.5058
betterleaks/default,generic_hex_token,multi_encoding,270,0.6519,0.9556,0.6822,0.6822
betterleaks/default,generic_hex_token,splitting,150,0.0200,0.9556,0.0209,0.0209
betterleaks/default,github_pat,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/default,github_pat,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,github_pat,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/default,github_pat,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/default,github_pat,encoding,630,0.1429,1.0000,0.1429,0.1429
betterleaks/default,github_pat,indirection,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,github_pat,multi_encoding,270,0.0000,1.0000,0.0000,0.0000
betterleaks/default,github_pat,splitting,150,0.0000,1.0000,0.0000,0.0000
betterleaks/default,google_api_key,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/default,google_api_key,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,google_api_key,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/default,google_api_key,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/default,google_api_key,encoding,630,0.7317,1.0000,0.7317,0.7317
betterleaks/default,google_api_key,indirection,60,0.5000,1.0000,0.5000,0.5000
betterleaks/default,google_api_key,multi_encoding,270,0.6481,1.0000,0.6481,0.6481
betterleaks/default,google_api_key,splitting,150,0.0333,1.0000,0.0333,0.0333
betterleaks/default,jwt,char_format,120,0.0000,1.0000,0.0000,0.0000
